代码	名称	涨幅%	现价	涨速%	涨跌	流通市值	流通股(亿)	买价	卖价	总量	现量	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	
000001	平安银行	0.65	12.36	0.16	0.08	       2398.53亿	        194.06	12.36	12.37	339911	5167	          0.18	12.24	12.37	12.21	12.28	     4.25	41866.48	  2.27	股份制银行	深圳	1.30	12.32	120819	219092	  0.55	0.00	3197	
000002	万 科Ａ	-0.31	6.37	0.16	-0.02	        618.96亿	         97.17	6.36	6.37	152486	1061	          0.16	6.37	6.39	6.35	6.39	--  	9709.57	  0.97	住宅开发	深圳	0.63	6.37	88010	64476	  1.37	0.00	17159	
000004	*ST国华	0.11	8.88	0.57	0.01	         11.21亿	          1.26	8.86	8.88	6996	27	          0.55	8.87	8.92	8.79	8.87	--  	619.49	  2.11	基础软件	深圳	1.47	8.85	5004	1992	  2.51	0.00	150	
000006	深振业Ａ	-0.81	6.10	0.00	-0.05	         82.35亿	         13.50	6.10	6.11	36696	10	          0.27	6.10	6.12	6.09	6.15	--  	2238.83	  1.29	住宅开发	深圳	0.49	6.10	20225	16471	  1.23	0.00	235	
000007	全新好	-0.14	7.10	0.28	-0.01	         24.60亿	          3.46	7.10	7.11	13809	5	          0.40	7.14	7.15	7.08	7.11	   347.00	982.68	  2.17	商业物业经营	深圳	0.98	7.12	6993	6816	  1.03	0.00	90	
000008	神州高铁	-0.72	2.74	0.00	-0.02	         74.42亿	         27.16	2.74	2.75	67230	2	          0.25	2.75	2.76	2.73	2.76	--  	1844.10	  1.32	轨交设备	北京	1.09	2.74	39515	27715	  1.43	0.00	29882	
000009	中国宝安	0.22	9.15	0.11	0.02	        235.71亿	         25.76	9.15	9.16	42773	11	          0.17	9.11	9.16	9.07	9.13	    35.00	3900.91	  1.13	电池化学品	深圳	0.99	9.12	17954	24819	  0.72	0.00	1052	
000010	美丽生态	3.44	3.91	0.00	0.13	         28.60亿	          7.32	3.91	3.92	599284	161	          8.19	3.72	4.08	3.68	3.78	--  	23412.94	  9.29	园林工程	深圳	10.58	3.91	272557	326727	  0.83	0.00	985	
000011	深物业A	-0.12	8.47	0.00	-0.01	         44.59亿	          5.26	8.46	8.47	9537	12	          0.18	8.46	8.51	8.42	8.48	   252.11	806.09	  1.61	物业管理	深圳	1.06	8.45	4365	5172	  0.84	0.00	51	
000012	南 玻Ａ	-0.84	4.74	0.00	-0.04	         92.87亿	         19.59	4.74	4.75	30544	113	          0.16	4.78	4.78	4.73	4.78	   229.29	1449.88	  1.35	玻璃制造	深圳	1.05	4.75	16194	14350	  1.13	0.00	1638	
000014	沙河股份	-0.90	12.11	0.25	-0.11	         29.31亿	          2.42	12.10	12.11	16203	8	          0.67	12.12	12.19	12.00	12.22	--  	1955.48	  1.53	住宅开发	深圳	1.55	12.07	8580	7623	  1.13	0.00	31	
000016	深康佳Ａ	-0.41	4.83	0.84	-0.02	         77.12亿	         15.97	4.82	4.83	54705	75	          0.34	4.81	4.83	4.75	4.85	    30.67	2621.11	  1.06	电视	深圳	1.65	4.79	30364	24341	  1.25	0.00	148	
000017	深中华A	0.64	6.25	0.32	0.04	         18.94亿	          3.03	6.24	6.25	21524	33	          0.71	6.20	6.26	6.16	6.21	   182.37	1336.03	  2.14	钟表珠宝	深圳	1.61	6.21	8965	12559	  0.71	0.00	330	
000019	深粮控股	0.15	6.83	0.29	0.01	         28.43亿	          4.16	6.82	6.83	11416	2	          0.27	6.81	6.83	6.78	6.82	    21.55	777.55	  1.31	粮油加工	深圳	0.73	6.81	5630	5786	  0.97	0.00	841	
000020	深华发Ａ	0.15	13.41	0.00	0.02	         24.29亿	          1.81	13.41	13.42	7596	2	          0.42	13.39	13.44	13.28	13.39	   160.26	1015.65	  1.68	面板	深圳	1.19	13.37	3850	3746	  1.03	0.00	44	
000021	深科技	0.05	18.36	0.00	0.01	        286.49亿	         15.60	18.35	18.36	39277	2	          0.25	18.25	18.40	18.20	18.35	    40.03	7191.21	  0.97	消费电子组件	深圳	1.09	18.31	18833	20444	  0.92	0.00	303	
000025	特 力Ａ	-0.12	16.96	0.18	-0.02	         66.62亿	          3.93	16.95	16.96	11969	20	          0.30	17.00	17.15	16.92	16.98	    53.40	2034.92	  1.74	综合类	深圳	1.35	17.00	5257	6712	  0.78	0.00	81	
000026	飞亚达	1.22	16.65	0.18	0.20	         60.73亿	          3.65	16.63	16.65	87530	6	          2.40	16.76	18.00	16.34	16.45	    37.28	14723.68	  3.89	钟表珠宝	深圳	10.09	16.82	38211	49319	  0.77	0.00	12	
000027	深圳能源	0.00	6.53	0.15	0.00	        310.66亿	         47.57	6.53	6.54	27089	16	          0.06	6.52	6.55	6.50	6.53	     5.75	1768.32	  1.22	火力发电	深圳	0.77	6.53	13775	13314	  1.03	0.00	1398	
000028	国药一致	-0.54	25.63	0.31	-0.14	        122.53亿	          4.78	25.62	25.63	12708	64	          0.27	25.61	25.79	25.50	25.77	    10.87	3253.56	  2.15	医药流通	深圳	1.13	25.60	7670	5038	  1.52	0.00	168	
000029	深深房Ａ	0.48	18.89	0.43	0.09	        168.43亿	          8.92	18.89	18.90	13716	5	          0.15	18.71	18.90	18.36	18.80	    65.97	2564.15	  2.93	住宅开发	深圳	2.87	18.69	4594	9122	  0.50	0.00	87	
000030	富奥股份	-0.17	5.96	0.34	-0.01	         99.57亿	         16.71	5.95	5.96	13383	10	          0.08	5.92	5.98	5.90	5.97	    15.69	795.38	  1.32	底盘与发动机系统	吉林	1.34	5.94	6162	7221	  0.85	0.00	206	
000031	大悦城	-0.98	3.03	0.33	-0.03	        129.88亿	         42.86	3.02	3.03	74194	508	          0.17	3.02	3.04	2.98	3.06	--  	2234.53	  1.82	商业地产	深圳	1.96	3.01	36619	37575	  0.97	0.00	3307	
000032	深桑达Ａ	0.20	24.82	0.08	0.05	        273.40亿	         11.02	24.82	24.83	326691	31	          2.97	24.77	25.32	24.60	24.77	--  	81449.69	  6.25	其他专业工程	深圳	2.91	24.93	147607	179084	  0.82	0.00	67	
000034	神州数码	-1.26	39.84	-0.49	-0.51	        236.80亿	          5.94	39.82	39.84	86772	23	          1.46	39.83	40.68	39.65	40.35	    32.60	34675.39	  1.53	其他云服务	深圳	2.55	39.96	46631	40141	  1.16	0.00	168	
000035	中国天楹	0.00	4.32	0.23	0.00	        104.79亿	         24.26	4.31	4.32	22104	12	          0.09	4.30	4.32	4.29	4.32	    25.58	952.08	  0.93	固废治理	江苏	0.69	4.31	12467	9637	  1.29	0.00	1749	
000036	华联控股	-0.83	3.60	0.00	-0.03	         50.44亿	         14.01	3.60	3.61	43050	4	          0.31	3.63	3.65	3.59	3.63	   220.33	1552.97	  2.48	住宅开发	深圳	1.65	3.61	21627	21423	  1.01	0.00	1471	
000037	深南电A	-0.33	9.05	0.33	-0.03	         30.67亿	          3.39	9.04	9.05	14987	26	          0.44	9.01	9.06	8.95	9.08	--  	1351.13	  1.43	火力发电	深圳	1.21	9.02	7718	7269	  1.06	0.00	221	
000039	中集集团	0.00	8.17	0.25	0.00	        188.02亿	         23.01	8.16	8.17	94579	31	          0.41	8.14	8.19	8.11	8.17	    20.25	7699.66	  1.77	金属制品	深圳	0.98	8.14	34670	59909	  0.58	0.00	319	
000042	中洲控股	0.12	8.21	0.12	0.01	         54.53亿	          6.64	8.21	8.22	10087	32	          0.15	8.19	8.22	8.12	8.20	     9.83	823.66	  1.05	住宅开发	深圳	1.22	8.17	4375	5712	  0.77	0.00	7	
000045	深纺织Ａ	0.00	10.54	0.29	0.00	         48.17亿	          4.57	10.52	10.54	8536	7	          0.19	10.43	10.54	10.43	10.54	    63.97	893.87	  1.36	光学元件	深圳	1.04	10.47	4610	3926	  1.17	0.00	104	
000048	京基智农	-0.64	15.46	0.32	-0.10	         81.44亿	          5.27	15.46	15.48	20149	13	          0.38	15.55	15.56	15.35	15.56	    18.29	3108.27	  2.37	住宅开发	深圳	1.35	15.43	16620	3529	  4.71	0.00	38	
000049	德赛电池	0.00	22.91	0.44	0.00	         88.10亿	          3.85	22.89	22.91	9720	10	          0.25	22.84	22.92	22.72	22.91	    45.27	2215.94	  1.72	锂电池	深圳	0.87	22.80	4542	5178	  0.88	0.00	79	
000050	深天马Ａ	-0.11	9.23	0.00	-0.01	        226.85亿	         24.58	9.22	9.23	38502	29	          0.16	9.20	9.25	9.12	9.24	    58.83	3534.95	  1.91	面板	深圳	1.41	9.18	20404	18098	  1.13	0.00	334	
000055	方大集团	-0.48	4.15	0.00	-0.02	         28.05亿	          6.76	4.15	4.16	13744	8	          0.20	4.16	4.17	4.12	4.17	    33.73	570.02	  1.09	其他建材	深圳	1.20	4.15	6416	7328	  0.88	0.00	1157	
000056	皇庭国际	-1.36	2.90	0.35	-0.04	         26.21亿	          9.04	2.90	2.91	89318	1232	          0.99	2.92	2.93	2.88	2.94	--  	2591.35	  2.08	商业物业经营	深圳	1.70	2.90	43003	46315	  0.93	0.00	2982	
000058	深 赛 格	3.81	8.44	-0.11	0.31	         83.11亿	          9.85	8.43	8.44	104891	19	          1.07	8.09	8.62	8.07	8.13	   113.53	8829.61	  8.47	商业物业经营	深圳	6.77	8.42	42462	62429	  0.68	0.00	197	
000059	华锦股份	-0.38	5.24	0.58	-0.02	         83.81亿	         15.99	5.23	5.24	29828	508	          0.19	5.24	5.25	5.20	5.26	--  	1557.89	  0.98	炼油化工	辽宁	0.95	5.22	15693	14135	  1.11	0.00	886	
000060	中金岭南	-0.21	4.72	0.21	-0.01	        176.41亿	         37.38	4.72	4.73	81028	73	          0.22	4.72	4.74	4.71	4.73	    16.15	3825.48	  1.54	铅锌	深圳	0.63	4.72	45316	35712	  1.27	0.00	1254	
